ator_id	titulo_id	nome_personagem
nm1684869	tt1641384	Green Lantern
nm2794962	tt1645131	Juliet
nm0799777	tt1648163	Cave Johnson
nm1869101	tt1649418	Dani Miranda
nm1102577	tt1650062	Alice Dainard
nm1869101	tt1655389	Norma Jeane
nm1684869	tt1669693	Ivan Brackman
nm1684869	tt1669693	Commander Greer
nm0000206	tt1675286	Neo
nm0799777	tt1695360	Tenzin
nm0799777	tt1695360	Additional Voices
nm2215143	tt1695360	Jinora
nm2215143	tt1695360	Additional Voices
nm1869101	tt1703911	Rosa
nm1869101	tt1703911	Laura
nm1684869	tt1706619	ClawHammer Commander
nm1684869	tt1712064	Booker DeWitt
nm0005342	tt1712261	Russell Welch
nm0604742	tt1714918	Ed Deerman
nm1684869	tt1716744	Logan Thackeray
nm1684869	tt1716744	Additional Voices
nm0000206	tt1718158	John
nm0799777	tt1722512	J. Jonah Jameson
nm0799777	tt1722512	BBB
nm0799777	tt1722512	J. Joanna Jameson
nm1684869	tt1727537	Additional Voices
nm2794962	tt1731141	Petra Arkanian
nm2794962	tt1731701	Megan Walsh
nm3154303	tt1735907	Teenage Stephen
nm1659221	tt1740721	Bucky Barnes
nm0005342	tt1741243	Stanley
nm1684869	tt1756691	Shiro
nm1684869	tt1756691	Zolf
nm1102577	tt1756851	V.
nm0799777	tt1758810	Arve Støp
nm4911194	tt17663992	Tara Carpenter
nm1684869	tt1772776	Desconhecido
nm1869101	tt1781827	Felicidad Iglesias
nm1684869	tt1789846	Mr. Lou Zarr
nm1684869	tt1815924	Mitsunari Ishida
nm1684869	tt1823262	Jazz
nm1684869	tt1823262	Jetfire
nm1684869	tt1823262	Kickback
nm0799777	tt1825784	J Kimball
nm0000206	tt18259086	Shadow
nm0604742	tt1832045	Ike Evans
nm1869101	tt1833116	Sofia
nm1684869	tt18377094	Logan
nm1659221	tt1838544	Billy
nm0799777	tt1840320	J.K.
nm0799777	tt1840320	Frank Perry
nm0799777	tt1840417	Mr. Jansen
nm1659221	tt1843866	Bucky Barnes
nm1659221	tt1843866	Winter Soldier
nm0799777	tt18453958	Cave Johnson
nm1684869	tt1852820	Arlon
nm1684869	tt1852820	Pyrrhon
nm0604742	tt18546730	Negan Smith
nm1684869	tt1855429	Red Skull
nm1684869	tt1855429	Loki
nm1684869	tt1855429	Venom
nm1869101	tt1856101	Joi
nm1102577	tt1864405	Amy-Jo Albany
nm0005342	tt1876330	Lax Morales
nm2794962	tt1878870	Nadine
nm5301405	tt18925334	Pearl
nm5301405	tt18925334	Desconhecido
nm3081796	tt1926214	(segment 'Carpe Millennium')
nm2215143	tt1931602	Eleanor
nm1869101	tt1935194	Stephanie
nm3480246	tt1935859	Emma
nm0799777	tt1942919	P.J. Jordan
nm1684869	tt1948563	Ishida Mitsunari
nm3480246	tt19488150	Gwyndala
nm2215143	tt1950235	Angie
nm1684869	tt1954399	Pawn
nm1684869	tt1954399	Additional Voices
nm0799777	tt1967545	Mr. Jervis
nm1684869	tt19720506	Nathan Foster
nm1102577	tt1974419	Jesse
nm0000206	tt1974419	Hank
nm1684869	tt1977764	Ryu Hayabusa
nm0000206	tt1979376	Duke Caboom
nm2794962	tt1980929	Violet
nm1684869	tt1988235	Noah van Helsing
nm1684869	tt1988235	Drunk Man
nm1684869	tt1988235	Vampire
nm1684869	tt20012502	Pagan Min
nm1684869	tt2007381	Snow Villiers
nm0000206	tt2016940	Donaka Mark
nm0000206	tt2016940	Desconhecido
nm1684869	tt2040483	Alphonse Dalton
nm4911194	tt2049403	Astrid Deetz
nm2581521	tt2056366	Sebastian Kydd
nm0799777	tt2061739	Yellow Peanut
nm4911194	tt20672490	Camila
nm1684869	tt2078554	Kagan
nm0005342	tt2091478	Bauer
nm1684869	tt20918700	Joel
nm1659221	tt20969586	Bucky Barnes
nm1684869	tt21054944	Ryan
nm1659221	tt21097228	Edward
nm1102577	tt2115295	Ginger
nm1684869	tt21197740	Batman
nm1684869	tt21197740	Bruce Wayne
nm1684869	tt21201832	Wyatt Taylor
nm1684869	tt2121814	Rifters
nm1684869	tt2121814	Outcast Prisoner
nm1684869	tt2122430	Ryu Hayabusa
nm1684869	tt2124813	Siris
nm1684869	tt21292982	Xav
nm3081796	tt21375602	Iam
nm3081796	tt21375602	Liam
nm0799777	tt2140479	Ray King
nm1684869	tt2140553	Joel
nm2581521	tt21454134	Benny
nm1684869	tt2160251	Football Commentator
nm2794962	tt2172934	Zooey Renner
nm1869101	tt2180339	Melinda
nm1684869	tt2182384	Sinestro
nm1684869	tt2182384	Nightwing (Dick Grayson)
nm1684869	tt2182384	Atlantean Soldier
nm1684869	tt2193031	Jake Muller
nm0799777	tt2201211	Ernest
nm0604742	tt2201532	Bruce
nm3480246	tt2204080	Mackenzie
nm5301405	tt22048412	Maxine Minx
nm5301405	tt22048412	Desconhecido
nm1684869	tt2220654	Dash
nm1684869	tt22259738	Paz
nm4911194	tt2226630	Anna
nm4911194	tt2226630	Juan's daugther
nm1684869	tt2229051	Charles Gregory
nm0604742	tt2231461	Harvey Russell
nm1102577	tt2235759	Catherine
nm1684869	tt2238867	Yamato
nm1684869	tt2238867	Pain
nm1684869	tt2243086	Orkos
nm1684869	tt2243086	Multiplayer Announcer
nm1684869	tt2243086	Worker
nm0799777	tt2245283	Tony Shea
nm1102577	tt2261287	Felicie
nm0799777	tt2267968	Kai
nm3154303	tt2279339	Charlie
nm0005342	tt2287394	Daryl Dixon
nm1684869	tt2287394	Aiden Caroll
